0,709 4392 7350 7917 7977 8383 3802 2414 9610 2575
1,525 924 1153 1225 1310 1415 1533 1624 1683 2146
2,1352 6482 2777 6626 5042 1661 3804 4684 7652 8284
3,8359 5487 2020 5185 6459 9825 9334 8215 3436 5756
4,349 2859 7883 2883 9887 6159 2486 6521 1429 3438
5,3446 102 255 364 456 703 737 794 906 1010
6,4900 8756 8537 5698 960 2596 654 9928 9603 7649
7,175 180 223 492 508 796 886 1276 1318 1398
8,9468 7165 9142 9912 5926 519 1610 1173 3809 6734
9,951 7495 3453 5565 8299 9255 1323 6029 2429 1495
10,1297 5660 9151 7962 7745 3034 252 3131 1818 8201
11,1628 2470 3492 3726 4243 4371 6066 6365 8321 9854
12,3580 4095 6774 7809 8132 9045 2167 9469 9008 7820
13,9284 3009 3965 3239 9413 7861 4152 9608 1403 68
14,4326 908 2900 3207 6627 6341 6787 1008 3286 5701
15,6017 5816 2883 9887 3438 2486 6521 6928 4 349
16,1731 2195 2410 3010 3138 3362 4157 4779 5139 6295
17,7 11 18 19 21 27 42 47 54 58
18,5208 459 481 864 1274 1430 1921 1978 2190 2201
19,9532 4646 8554 9732 4237 4763 911 7197 860 2562
20,9945 8302 7959 9376 9607 8625 265 62 1742 4462
21,1472 671 2173 3110 6174 8586 2453 5536 621 6523
22,8578 2730 6106 8229 3251 673 6160 6074 7039 9978
23,4641 6364 2314 7792 5586 9072 6210 5986 6436 9331
24,7304 578 2778 9150 9743 1115 4309 4374 7868 1307
25,7718 7341 2477 1247 8618 4456 4390 3223 1190 8345
26,194 1254 3547 5444 7344 7593 8025 8198 9281 9418
27,813 956 1927 3006 3636 4549 6305 7881 8395 8798
28,1295 1999 3427 3801 3719 8511 2326 3783 3794 340
29,1339 4196 4248 880 7420 3341 5036 5228 5270 5219
30,2886 8366 8738 9581 536 1699 1707 1909 6133 6798
31,217 1637 8557 9817 2102 1319 9286 6231 6550 6227
32,5290 2093 8619 6056 9285 1018 3942 2023 8375 6320
33,11 18 19 21 27 42 47 54 58 76
34,2370 7157 923 1221 7915 4289 6154 9304 8238 9001
35,319 1149 1714 4488 4775 5342 6932 6935 7435 9231
36,731 6502 7401 4982 3688 5406 4107 9044 7102 5740
37,107 831 2766 4591 6290 7679 1246 9961 2031 6740
38,2936 4564 6588 6630 3017 9595 1000 5825 6694 198
39,8594 9068 6632 2275 5345 1283 1782 6750 1771 4991
40,347 1823 1367 1298 1694 2482 4960 5518 7276 7597
41,4081 6062 8593 1627 9664 7257 4539 5421 2989 2958
42,4300 4799 5468 766 3230 3500 3988 4659 5092 6271
43,5710 1279 9637 4515 7843 9127 9226 1930 509 8648
44,7130 8446 5258 7700 9027 9174 6907 4988 3738 2418
45,3668 8581 7501 7520 3936 4422 323 8846 8013 6527
46,898 3409 3899 7663 8292 8407 8745 8935 7071 3441
47,9662 5316 6394 7183 2361 7887 3542 7444 7363 2053
48,1617 3264 4802 8137 9024 9929 9526 750 4051 1056
49,3378 8251 5997 3635 5161 7533 9251 4865 1709 9014
50,9353 8854 2688 2887 7528 379 1956 562 4542 6047
51,365 2092 4225 5966 35 319 1149 1714 4488 4775
52,5204 5491 1803 3958 3674 9352 7449 6806 4270 7813
53,157 1183 2019 2212 2545 2657 2704 3494 4424 6041
54,564 852 1673 1939 5329 5589 6140 6153 6733 8062
55,2736 2299 7355 5183 8088 4883 875 5765 5315 280
56,529 928 1532 1779 2121 2155 2179 2600 3171 3406
57,949 1189 2722 292 7622 70 7335 7479 3422 1582
58,81 159 208 267 288 307 383 417 468 516
59,6591 9745 9766 8764 1054 1097 1753 5138 8514 1983
60,977 7018 7594 4970 1998 7893 7385 1311 1061 7777
61,9847 3761 1268 3372 6125 1055 8971 968 7377 1242
62,2132 1742 2696 991 2672 5482 316 3708 8452 9241
63,801 6861 9768 3253 7001 1068 9223 445 7918 8902
64,830 8751 4167 3404 9896 6161 9576 391 5011 7945
65,7054 3541 7196 7996 7103 6285 4943 9080 9671 2339
66,798 1374 2112 3035 4485 6291 3525 1640 1057 7545
67,3458 4058 8845 9894 8256 3437 9452 8072 7844 1537
68,2073 2574 3926 4328 5662 6163 8100 7861 4152 4311
69,7502 2761 8293 2796 7432 9960 8022 6517 1253 5835
70,1582 9791 9773 6629 3851 8029 2450 8712 6226 1836
71,4726 4133 993 1840 3595 4536 257 2836 8974 7918
72,1311 797 8903 5165 3822 2555 5723 977 7018 7594
73,786 6805 2641 9528 6956 2795 6358 2053 2679 4156
74,931 983 1217 2137 2750 3601 5167 5875 6246 6311
75,7378 9212 2109 8060 9549 3075 855 1414 6222 8929
76,5782 4578 4495 1817 7635 6764 3021 2168 7041 3598
77,488 863 2235 9875 1221 6154 9570 62 8610 7626
78,126 423 597 783 988 1095 1098 1280 1646 2075
79,2426 5341 4702 3053 3314 980 4299 7678 7866 3549
80,7387 1999 3427 3801 3719 8511 3783 340 1011 1147
81,81 159 208 267 288 307 383 417 468 516
82,6438 6131 2384 6703 2951 7257 6835 9336 2924 6136
83,6067 5896 6739 8998 6818 9272 5797 204 2468 3520
84,695 1174 1703 1886 2251 2304 2682 3639 3683 4033
85,3063 854 1030 5788 6094 84 695 1174 1703 1886
86,5981 2669 503 9246 3062 1038 5234 2196 1452 2794
87,891 1953 1999 3427 3801 8629 3719 3133 8511 426
88,884 2638 8158 1372 2524 2707 6304 1396 2794 3747
89,3460 1334 3330 8876 647 7190 2452 1721 6718 1475
90,2733 4497 5308 2107 1425 2740 8302 9376 701 8116
91,275 553 770 1035 1039 1360 1362 2014 2081 2098
92,3789 6889 96 5572 5166 5969 6082 8290 1659 7889
93,3566 3931 4217 5519 6950 6957 8663 8811 8078 877
94,9191 4955 7829 3898 3938 4259 3783 615 1999 3427
95,7204 9431 1500 6601 6752 1159 7611 6648 5724 5099
96,5572 5166 7889 8187 8426 5969 6082 1659 7310 9396
97,4888 8447 8308 5413 2671 235 9734 8695 8150 2857
98,499 722 7933 712 6065 4195 9397 5077 228 7577
99,3541 5311 2272 8380 65 6044 7054 7756 8350 7196
100,6789 6799 7554 8591 6123 7460 4436 7226 5300 7358
101,3379 6777 4707 3245 5144 6432 6490 6604 9278 8827
102,255 364 456 703 737 794 906 1010 1198 1331
103,482 2542 7782 7810 9706 3381 2282 5984 7939 2131
104,2070 8199 1321 6122 1125 2209 969 2919 3772 6854
105,11 1628 2470 3492 3726 4243 4371 6066 6365 8321
106,5288 3928 6564 4538 9803 6025 9841 3769 2024 2034
107,107 831 2766 4591 6290 7679 1246 9961 2031 6740
108,1600 3141 5789 6843 7938 1422 9738 9187 9119 6654
109,3245 5144 6432 6490 6604 1246 5024 9277 7958 1580
110,11 18 19 21 27 42 47 54 58 76
111,1857 3125 9975 5742 8234 9893 1999 3427 3801 3719
112,685 3324 8606 4184 9208 8131 1873 462 8440 1127
113,2433 8680 9934 939 1037 1240 1919 2960 3466 3569
114,8134 348 1621 2032 2387 2832 3156 3548 3632 4647
115,443 1140 1252 6368 6742 522 7470 5702 4927 5901
116,1723 2955 4105 1767 5847 6586 254 4119 5019 4631
117,1957 8362 9907 2884 1611 804 8402 2544 3513 6535
118,6565 960 2596 6822 8236 7949 4008 3242 233 192
119,1155 2338 7789 1868 5250 8991 385 3426 531 2509
120,842 1222 4099 9724 3625 3342 1407 4211 5815 6185
121,1868 5250 8991 385 3426 6381 6282 213 6869 9640
122,3087 9761 5327 3093 4538 9778 8117 9803 6026 1693
123,8722 9971 9156 782 5577 108 1600 3141 5789 6843
124,2891 7670 7985 5953 6024 7110 4608 8576 5760 9441
125,8255 4198 7312 3981 5447 8052 6532 9642 4121 4088
126,126 423 597 783 988 1095 1098 1280 1646 2075
127,4718 7068 7230 7951 7989 9015 9485 9865 1999 3427
128,9259 1612 8883 2893 850 4918 9051 1089 1511 8375
129,6152 6744 6423 8826 7185 6340 6617 1536 176 4992
130,4419 3903 523 316 3708 8452 9241 1568 1719 9060
131,9782 2465 6351 6376 5177 5446 2376 822 6714 8444
132,966 1504 2119 2537 2838 2990 2994 3349 3356 3390
133,6558 1406 2423 3020 3169 6616 3033 5675 7200 6060
134,4066 5257 9913 8460 9639 9307 5573 3744 5153 3288
135,3940 4325 595 3059 5543 1831 3321 7422 7653 3269
136,925 5440 9840 9916 5430 93 3566 3931 4217 5519
137,4382 7895 6873 4562 7705 3400 7706 3700 5729 1345
138,1091 152 5081 4806 2999 2083 7371 1967 7337 7587
139,233 4008 3447 5066 6689 1498 9085 793 7047 216
140,2267 3196 9943 3132 1411 3358 5762 5242 8666 9155
141,8965 5553 7422 4561 6511 7161 9879 1195 4780 7186
142,641 2706 2968 3332 4290 5704 5970 6315 6504 9794
143,1974 5562 2322 9779 3986 6599 7610 9248 3838 4296
144,301 399 742 749 1146 1193 1220 1737 1959 2125
145,6046 3461 9329 5134 4815 4202 3507 3015 9240 4463
146,272 299 691 1120 1950 2266 2333 3803 4372 4584
147,5776 2228 518 4463 7326 7093 419 188 1087 8194
148,5953 6024 7468 9441 4608 7985 2891 8576 5760 124
149,7450 2216 3716 297 4883 4555 318 5183 8088 875
150,5869 8374 2347 1015 5126 1256 2139 5843 3984 7765
151,899 7156 8165 6239 4672 7406 3894 7234 1773 1700
152,138 1091 4806 5081 2083 2999 7371 845 8849 764
153,3117 3441 5466 2030 4554 8164 8311 5328 4899 1943
154,7106 2341 1081 8965 699 8477 670 7439 7731 7710
155,5965 8958 84 695 1174 1703 1886 2251 2304 2682
