0,121261643802 121261069573 301001430347 141173404299 360843510556 301053803619 231133289875 111221678527 231018920339 201024225500
1,151215670348 201024236281 111241032287 251315717884 131098685473 310818751044 321305592761 221360452010 151213910338 221347916623
2,301032497619 181144309508 191029299535 271374583578 231078636897 271371680804 200983935803 291044886031 231140404439 181276347263
3,390740843954 400620260842 370987892664 380768116047 370872419615 271349367030 400644945917 141158669524 171224294318 141148495816
4,121203685985 121261069573 301079281716 300694304280 321304471990 191047371888 161184456470 301075364020 121253857237 271369372251
5,331096398971 141170585626 350981883982 111238226984 111236544376 221211726823 121260367123 281250649549 171174146388 321304471990
6,380825074955 261360102172 360844393080 291030263212 360844318881 280963328635 271381420547 121252589087 231122155981 360828790270
7,161206586984 111261719358 400651568935 281247466109 400648343418 271379483207 171225935330 201024128760 181306819891 301052172492
8,300995793799 231086731437 171197918121 400651248944 300924106031 271372951659 231074088020 291062024574 301076567707 400645118936
9,370993505263 360844393080 360845566237 261360102172 261362556178 251412462272 291030263212 231122155981 271381420547 280963328635
10,221354069950 291025048222 291065661593 301079102806 390567445599 281246842733 291065928817 201019330829 321299995201 140907394615
11,350976362960 221098529264 191048441568 251432977196 221343674312 131082273405 271383119252 171225935330 360843510556 321129558203
12,231142479941 181305765247 251432252590 290992404327 161203499740 280931235927 221073720802 281244534658 370994156812 221358283849
13,251383677740 271372927163 160803351607 141166120673 171225727590 321267227209 331112467597 221080157186 251409552814 231141415190
14,360826556319 181185253117 271331653100 111221678527 331096390919 370993505263 171225091297 131094790386 380825074955 370993055013
15,221098529264 111250099330 151218524723 350976362960 310818751044 191048441568 321307215287 251432977196 221282560330 221347916623
16,141167861477 121252627426 200986223735 281251591063 111008906044 390724883532 281250979342 191036364042 301072042907 121252589087
17,350877574835 281220002768 191046325372 271381350426 271366832118 271368438046 290951732565 201020550077 390722079466 281185969336
18,131062524833 350944814454 350909671927 370981388260 271366920150 370946668131 350932583521 281246796217 331114468311 291058322106
19,310654801694 370990266951 301079231407 231140156460 231126405294 231097206301 331094821881 370992405573 271368438046 221333714365
20,141168379935 370787495704 370787497640 251430503839 181298529400 111008906044 251430858664 201020550077 370990121732 121252627426
21,370961289647 271367422666 131089380986 400651248944 141167861477 131094790386 161207665120 321271806814 231097206301 390724883532
22,181284479412 191019095625 201020550077 151209382839 291057988718 191019231439 201024225500 251430503839 111008906044 121252627426
23,281197274331 151208007937 390736627437 111252341917 281251579456 131099399069 231078636897 271291202535 141164959225 111241227278
24,161204961449 251419915471 281197706907 111251436649 251433806384 131074420270 331114392119 330730470165 221356279406 271271361363
